TradeDate;Symbol;SecurityName;IsStock;Market;Last;LogReturnLast;SharesIssued
21.03.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3900.0000;-0.010204170174243;2239810
22.03.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3900.0000;0;2239810
23.03.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3920.0000;0.0051151006667709;2239810
26.03.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3900.0000;-0.0051151006667709;2239810
27.03.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3960.0000;0.015267472130789;2239810
28.03.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3940.0000;-0.0050633019565467;2239810
03.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3980.0000;0.010101095986503;2239810
04.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4100.0000;0.029705154413916;2239810
05.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4240.0000;0.033576295533605;2239810
06.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4400.0000;0.03704127168035;2239810
09.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4480.0000;0.018018505502678;2239810
10.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4780.0000;0.064817500076471;2239810
11.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4800.0000;0.0041753714104811;2239810
12.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4560.0000;-0.05129329438755;2239810
13.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4720.0000;0.034486176071169;2239810
16.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4760.0000;0.0084388686458645;2239810
17.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4760.0000;0;2239810
18.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4760.0000;0;2239810
19.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4820.0000;0.012526259819179;2239810
20.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4820.0000;0;2239810
23.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4900.0000;0.016461277054074;2239810
24.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4900.0000;0;2239810
25.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4840.0000;-0.012320484388042;2239810
26.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4900.0000;0.012320484388042;2239810
27.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;4060.0000;-0.18805223150294;2239810
30.04.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3960.0000;-0.024938948347252;2239810
02.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3920.0000;-0.010152371464018;2239810
03.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3880.0000;-0.010256500167189;2239810
04.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3800.0000;-0.020834086902841;2239810
07.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3780.0000;-0.0052770571008445;2239810
08.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3740.0000;-0.010638398205055;2239810
09.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3800.0000;0.015915455305899;2239810
11.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3800.0000;0;2239810
14.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3820.0000;0.0052493558861428;2239810
15.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3840.0000;0.0052219439811516;2239810
16.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3840.0000;0;2239810
18.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3820.0000;-0.0052219439811516;2239810
22.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3820.0000;0;2239810
23.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3720.0000;-0.026526754333428;2239810
24.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3700.0000;-0.0053908486348764;2239810
25.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3480.0000;-0.061300525863796;2239810
28.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3500.0000;0.0057306747089854;2239810
29.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3480.0000;-0.0057306747089854;2239810
30.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3420.0000;-0.017391742711869;2239810
31.05.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3540.0000;0.034486176071169;2239810
01.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3580.0000;0.011236073266925;2239810
04.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3560.0000;-0.0056022555486699;2239810
05.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3700.0000;0.03857227478624;2239810
06.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3700.0000;0;2239810
07.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3640.0000;-0.01634913800153;2239810
08.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3700.0000;0.01634913800153;2239810
11.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3580.0000;-0.03297001923757;2239810
12.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3500.0000;-0.02259983191724;2239810
13.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3700.0000;0.055569851154811;2239810
14.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3560.0000;-0.03857227478624;2239810
15.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3620.0000;0.016713480973742;2239810
18.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3620.0000;0;2239810
19.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3680.0000;0.016438726343159;2239810
20.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3640.0000;-0.010929070532191;2239810
21.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3620.0000;-0.0055096558109682;2239810
22.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3620.0000;0;2239810
25.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3620.0000;0;2239810
26.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3640.0000;0.0055096558109682;2239810
27.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3680.0000;0.010929070532191;2239810
28.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3700.0000;0.0054200674693394;2239810
29.06.2018 00:00;AFK;Arendals Fossekompani;1;OSE;3660.0000;-0.010869672236904;2239810
02.01.2018 00:00;NRC;NRC Group;1;OSE;60.2000;-0.021364822497697;42327848
03.01.2018 00:00;NRC;NRC Group;1;OSE;60.0000;-0.0033277900926754;42327848
04.01.2018 00:00;NRC;NRC Group;1;OSE;58.4000;-0.027028672387919;42327848
05.01.2018 00:00;NRC;NRC Group;1;OSE;58.4000;0;42327848
08.01.2018 00:00;NRC;NRC Group;1;OSE;58.4000;0;42327848
09.01.2018 00:00;NRC;NRC Group;1;OSE;59.0000;0.010221554071538;42327848
10.01.2018 00:00;NRC;NRC Group;1;OSE;59.4000;0.0067567824628796;42327848
11.01.2018 00:00;NRC;NRC Group;1;OSE;58.8000;-0.010152371464018;42327848
12.01.2018 00:00;NRC;NRC Group;1;OSE;58.0000;-0.013698844358162;42327848
15.01.2018 00:00;NRC;NRC Group;1;OSE;57.2000;-0.013889112160667;42327848
16.01.2018 00:00;NRC;NRC Group;1;OSE;55.8000;-0.024780028998487;42327848
17.01.2018 00:00;NRC;NRC Group;1;OSE;55.2000;-0.010810916104215;42327848
18.01.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0.049480057263369;42327848
19.01.2018 00:00;NRC;NRC Group;1;OSE;57.6000;-0.0069204428445735;42327848
22.01.2018 00:00;NRC;NRC Group;1;OSE;57.8000;0.0034662079764862;42327848
23.01.2018 00:00;NRC;NRC Group;1;OSE;58.2000;0.0068965790590605;42327848
24.01.2018 00:00;NRC;NRC Group;1;OSE;57.6000;-0.010362787035547;42327848
25.01.2018 00:00;NRC;NRC Group;1;OSE;57.0000;-0.010471299867295;42327848
26.01.2018 00:00;NRC;NRC Group;1;OSE;57.4000;0.0069930354909706;42327848
29.01.2018 00:00;NRC;NRC Group;1;OSE;57.8000;0.0069444723528109;42327848
30.01.2018 00:00;NRC;NRC Group;1;OSE;57.6000;-0.0034662079764862;42327848
31.01.2018 00:00;NRC;NRC Group;1;OSE;57.8000;0.0034662079764862;42327848
01.02.2018 00:00;NRC;NRC Group;1;OSE;57.6000;-0.0034662079764862;42327848
02.02.2018 00:00;NRC;NRC Group;1;OSE;58.8000;0.020619287202735;42327848
05.02.2018 00:00;NRC;NRC Group;1;OSE;59.0000;0.0033955890011388;42327848
06.02.2018 00:00;NRC;NRC Group;1;OSE;57.8000;-0.020548668227388;42327848
07.02.2018 00:00;NRC;NRC Group;1;OSE;57.8000;0;42327848
08.02.2018 00:00;NRC;NRC Group;1;OSE;57.2000;-0.01043487729258;42327848
09.02.2018 00:00;NRC;NRC Group;1;OSE;57.2000;0;42327848
12.02.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0.013889112160667;42327848
13.02.2018 00:00;NRC;NRC Group;1;OSE;57.8000;-0.0034542348680873;42327848
14.02.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0.0034542348680873;42327848
15.02.2018 00:00;NRC;NRC Group;1;OSE;57.8000;-0.0034542348680873;42327848
16.02.2018 00:00;NRC;NRC Group;1;OSE;57.8000;0;42327848
19.02.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0.0034542348680873;42327848
20.02.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0;42327848
21.02.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0;42327848
22.02.2018 00:00;NRC;NRC Group;1;OSE;59.0000;0.017094433359301;42327848
23.02.2018 00:00;NRC;NRC Group;1;OSE;58.0000;-0.017094433359301;42327848
26.02.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0;42327848
27.02.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0;42327848
28.02.2018 00:00;NRC;NRC Group;1;OSE;58.4000;0.0068728792877621;42327848
01.03.2018 00:00;NRC;NRC Group;1;OSE;57.8000;-0.010327114155849;42327848
02.03.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0.0034542348680873;42327848
05.03.2018 00:00;NRC;NRC Group;1;OSE;57.2000;-0.013889112160667;42327848
06.03.2018 00:00;NRC;NRC Group;1;OSE;57.8000;0.01043487729258;42327848
07.03.2018 00:00;NRC;NRC Group;1;OSE;57.8000;0;42327848
08.03.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0.0034542348680873;42327848
09.03.2018 00:00;NRC;NRC Group;1;OSE;58.2000;0.0034423441909732;42327848
12.03.2018 00:00;NRC;NRC Group;1;OSE;58.0000;-0.0034423441909732;42327848
13.03.2018 00:00;NRC;NRC Group;1;OSE;58.0000;0;42327848
14.03.2018 00:00;NRC;NRC Group;1;OSE;57.8000;-0.0034542348680873;42327848
15.03.2018 00:00;NRC;NRC Group;1;OSE;57.8000;0;42327848
16.03.2018 00:00;NRC;NRC Group;1;OSE;57.2000;-0.01043487729258;42327848
19.03.2018 00:00;NRC;NRC Group;1;OSE;57.4000;0.003490404939769;42327848
20.03.2018 00:00;NRC;NRC Group;1;OSE;57.4000;0;42327848
21.03.2018 00:00;NRC;NRC Group;1;OSE;57.0000;-0.0069930354909706;42327848
22.03.2018 00:00;NRC;NRC Group;1;OSE;55.8000;-0.021277398447285;42327848
23.03.2018 00:00;NRC;NRC Group;1;OSE;56.4000;0.010695289116748;42327848
26.03.2018 00:00;NRC;NRC Group;1;OSE;56.0000;-0.0071174677688637;42327848
27.03.2018 00:00;NRC;NRC Group;1;OSE;56.2000;0.0035650661644961;42327848
28.03.2018 00:00;NRC;NRC Group;1;OSE;56.8000;0.01061956882746;42327848
03.04.2018 00:00;NRC;NRC Group;1;OSE;56.6000;-0.0035273405179685;42327848
04.04.2018 00:00;NRC;NRC Group;1;OSE;56.0000;-0.010657294473988;42327848
05.04.2018 00:00;NRC;NRC Group;1;OSE;55.8000;-0.0035778213478848;42327848
06.04.2018 00:00;NRC;NRC Group;1;OSE;56.0000;0.0035778213478848;42327848
09.04.2018 00:00;NRC;NRC Group;1;OSE;56.2000;0.0035650661644961;42327848
10.04.2018 00:00;NRC;NRC Group;1;OSE;55.8000;-0.0071428875123809;42327848
11.04.2018 00:00;NRC;NRC Group;1;OSE;56.0000;0.0035778213478848;42327848
12.04.2018 00:00;NRC;NRC Group;1;OSE;55.8000;-0.0035778213478848;42327848
13.04.2018 00:00;NRC;NRC Group;1;OSE;57.8000;0.035214906291067;42327848
16.04.2018 00:00;NRC;NRC Group;1;OSE;57.0000;-0.013937507843782;42327848
17.04.2018 00:00;NRC;NRC Group;1;OSE;57.0000;0;42327848
18.04.2018 00:00;NRC;NRC Group;1;OSE;57.0000;0;42327848
19.04.2018 00:00;NRC;NRC Group;1;OSE;56.6000;-0.0070422826254131;42327848
20.04.2018 00:00;NRC;NRC Group;1;OSE;54.8000;-0.032318791255167;42327848
23.04.2018 00:00;NRC;NRC Group;1;OSE;54.8000;0;42327848
24.04.2018 00:00;NRC;NRC Group;1;OSE;54.6000;-0.0036563112031107;42327848
